,d1,d2,d3,d4,d5,d6,Temperature,Humidity,Weather
151,29.168,22.61,22.592,13.554,10.91,25.858,,,
152,28.548,22.232,21.623,12.362,11.76,25.755,,,
153,29.235,21.515,21.751,12.218,12.863,26.93,,,
154,28.075,20.686,22.261,13.078,11.249,26.038,,,
155,28.525,21.579,22.56,13.862,13.861,27.14,,,
156,28.815,23.198,22.943,13.354,13.352,26.841,,,
157,28.937,21.392,22.013,14.256,12.47,26.141,,,
158,29.008,22.021,22.388,14.367,13.081,27.026,,,
159,28.926,21.88,22.748,13.921,12.192,26.316,,,
160,28.631,23.477,22.388,13.358,11.249,26.367,,,
161,29.228,22.22,21.356,13.921,12.471,26.594,,,
162,29.079,20.926,22.615,13.354,12.855,26.197,,,
163,28.221,22,22.471,12.389,12.471,25.994,,,
164,28.928,21.519,22.9,12.389,12.388,25.91,,,
165,28.946,17.905,22.335,13.355,12.13,25.673,,,
166,27.997,23.29,22.295,13.354,13.079,26.235,,,
167,28.602,21.932,22.462,13.802,12.216,25.79,,,
168,28.266,22.983,22.839,12.215,12.13,25.095,,,
169,27.17,22.229,22.338,12.863,12.218,26.537,,,
170,27.939,21.277,22.085,12.218,13.357,25.603,,,
171,27.58,22.661,22.615,12.389,11.353,25.857,,,
172,28.731,21.186,21.499,12.218,11.76,25.666,,,
173,26.421,22.339,22.261,13.921,12.218,25.614,,,
174,27.55,21.994,22.396,11.339,11.76,25,,,
175,28.505,22.381,22.686,12.389,10.542,26.515,,,
176,28.092,19.935,22.013,12.468,11.356,26.357,,,
177,27.669,18.886,22.059,12.384,11.356,26.367,,,
178,28.37,21.538,22.156,11.761,11.243,26.367,,,
179,28.34,20.647,21.682,12.389,11.922,26.165,,,
180,28.575,22.048,22.847,13.802,12.956,26.224,,,
181,28.127,20.501,22.396,14.523,13.357,26.371,,,
182,28.173,21.36,23.215,12.471,12.471,26.235,,,
183,29.219,22.041,22.388,13.358,12.218,25.481,,,
184,29.312,22.995,22.951,13.921,12.87,25.891,,,
185,29.395,21.337,22.84,14.711,12.862,25.673,,,
186,28.635,20.655,23.268,12.471,12.862,25.994,,,
187,28.83,19.316,22.624,13.921,16.368,25.398,,,
188,28.928,21.722,22.959,14.512,13.082,25.969,,,
189,28.545,21.933,22.892,13.913,11.249,26.141,,,
190,28.521,20.195,21.912,13.921,13.862,25.662,,,
191,28.635,22.68,21.682,12.863,13.346,26.387,,,
192,27.846,20.556,22.584,13.082,13.921,25.546,,,
193,28.338,22.139,21.779,12.12,15.14,25.709,,,
194,28.445,18.837,22.624,12.389,16.512,25.473,,,
195,28.246,23.675,22.748,11.761,13.91,26.037,,,
196,28.14,21.954,22.261,12.218,13.921,26.594,,,
197,28.302,20.796,22.403,12.449,15.91,25.481,,,
198,28.381,22.021,22.583,12.863,11.76,25.861,,,
199,28.3,23.058,22.748,13.358,13.143,25.86,,,
200,28.189,22.515,22.892,13.921,13.29,25.534,,,
201,27.902,22.09,23.046,14.367,16.3,26.704,,,
202,28.098,23.236,22.725,14.26,14.366,25.891,,,
203,28.149,20.148,22.847,13.921,11.931,27.151,,,
204,28.826,19.359,22.748,12.389,14.366,26.473,,,
205,28.306,21.535,22.076,13.921,14.522,24.903,,,
206,28.287,11.391,22.217,13.352,15.899,26.223,,,
207,27.972,20.448,22.899,10.543,16.092,26.515,,,
208,27.827,20.702,22.9,12.471,14.7,25.736,,,
209,27.343,20.83,21.711,10.911,15.399,25.994,,,
210,28.257,20.883,21.128,12.218,15.91,26.525,,,
211,27.676,20.639,23.515,12.216,14.522,26.514,,,
212,28.387,21.78,23.801,13.082,14.722,25.861,,,
213,27.489,22.011,23.249,13.082,14.722,26.677,,,
214,28.13,21.779,23.585,12.38,14.313,25.626,,,
215,27.292,20.938,23.861,13.854,15.228,26.097,,,
216,27.643,21.618,22.907,13.862,14.522,26.966,,,
217,28.114,21.97,22.892,12.863,15.228,26.841,,,
218,27.934,22.246,21.623,13.358,15.095,25.661,,,
219,28.154,21.464,23.553,12.218,13.861,26.956,,,
220,26.926,21.648,23.831,13.29,13.921,27.06,,,
221,27.642,22.727,22.321,12.471,14.722,25.867,,,
222,29.347,21.342,24.002,10.904,15.873,26.197,,,
223,28.689,21.879,22.338,12.218,10.543,26.842,,,
224,28.455,22.743,23.463,11.356,16.046,27.026,,,
225,28.032,21.684,23.397,12.218,16.563,26.677,,,
226,27.37,21.718,24.355,13.358,14.771,26.225,,,
227,28.269,22.025,22.337,11.761,15.873,26.363,,,
228,28.613,22.738,23.017,9.8526,16.3,26.371,,,
229,28.25,21.952,22.839,11.249,14.722,26.705,,,
230,28.362,22.383,23.377,13.358,16.842,26.314,,,
231,28.137,13.741,23.43,11.761,15.602,26.805,,,
232,27.34,23.139,22.907,13.08,14.313,26.197,,,
233,27.574,22.81,23.214,12.131,16.056,27.06,,,
234,27.734,21.123,23.081,12.218,14.722,26.151,,,
235,27.936,21.114,23.527,12.471,16.299,26.696,,,
236,28.392,21.051,22.56,12.389,15.272,26.023,,,
237,28.03,19.201,22.592,13.554,15.272,26.62,,,
238,27.747,22.156,23.831,12.863,13.082,26.387,,,
239,27.774,22.495,23.296,12.471,13.537,27.505,,,
240,27.956,22.811,23.193,13.358,13.861,26.871,,,
241,27.402,21.743,22.725,12.131,13.802,27.049,,,
242,28.27,21.524,21.912,13.358,12.13,26.544,,,
243,27.39,20.117,23.585,13.082,11.76,26.671,,,
244,28.338,22.031,22.847,12.388,11.356,25.79,,,
245,28.144,19.832,22.862,13.356,11.76,26.741,,,
246,28.447,22.894,22.086,12.471,13.379,26.705,,,
247,27.455,21.411,22.405,13.08,10.288,26.592,,,
